Origin,Destination,Airline,Flight,Origin Airport,Origin city,Origin temperature,Origin humidity,Origin cloudiness,Origin wind speed,Origin current description,Destination Airport,Destination city,Destination temperature,Destination humidity,Destination cloudiness,Destination wind speed,Destination current description
MEX,DFW,AA,1066,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,Dallas Fort Worth International Airport,Grapevine,69.53,38,75,8.05,broken clouds
CUN,DFW,AA,1068,Cancún International Airport,Benito Juárez,80.6,54,40,15.01,scattered clouds,Dallas Fort Worth International Airport,Grapevine,69.53,38,75,8.05,broken clouds
CUN,MIA,AA,1132,Cancún International Airport,Benito Juárez,80.6,54,40,15.01,scattered clouds,Miami International Airport,Miami-Dade County,76.98,71,75,16.11,broken clouds
CUN,MIA,AA,1157,Cancún International Airport,Benito Juárez,80.6,54,40,15.01,scattered clouds,Miami International Airport,Miami-Dade County,76.98,71,75,16.11,broken clouds
PVR,DFW,AA,1215,Licenciado Gustavo Díaz Ordaz International Airport,Puerto Vallarta,82.4,54,20,12.66,few clouds,Dallas Fort Worth International Airport,Grapevine,69.53,38,75,8.05,broken clouds
CZM,DFW,AA,1256,Cozumel International Airport,San Miguel de Cozumel,80.01,64,40,16.11,scattered clouds,Dallas Fort Worth International Airport,Grapevine,69.53,38,75,8.05,broken clouds
CUN,MIA,AA,1285,Cancún International Airport,Benito Juárez,80.6,54,40,15.01,scattered clouds,Miami International Airport,Miami-Dade County,76.98,71,75,16.11,broken clouds
PVR,DFW,AA,1288,Licenciado Gustavo Díaz Ordaz International Airport,Puerto Vallarta,82.4,54,20,12.66,few clouds,Dallas Fort Worth International Airport,Grapevine,69.53,38,75,8.05,broken clouds
CUN,JFK,AA,1327,Cancún International Airport,Benito Juárez,80.6,54,40,15.01,scattered clouds,John F Kennedy International Airport,New York County,54.19,49,75,9.22,broken clouds
CUN,DFW,AA,1343,Cancún International Airport,Benito Juárez,80.6,54,40,15.01,scattered clouds,Dallas Fort Worth International Airport,Grapevine,69.53,38,75,8.05,broken clouds
GDL,DFW,AA,1372,Don Miguel Hidalgo Y Costilla International Airport,Tlajomulco de Zúñiga,77.0,19,0,0.0,clear sky,Dallas Fort Worth International Airport,Grapevine,69.53,38,75,8.05,broken clouds
MEX,DFW,AA,1374,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,Dallas Fort Worth International Airport,Grapevine,69.53,38,75,8.05,broken clouds
MEX,MIA,AA,1397,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,Miami International Airport,Miami-Dade County,76.98,71,75,16.11,broken clouds
MEX,MIA,AA,1498,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,Miami International Airport,Miami-Dade County,76.98,71,75,16.11,broken clouds
CUN,ORD,AA,1503,Cancún International Airport,Benito Juárez,80.6,54,40,15.01,scattered clouds,Chicago O'Hare International Airport,Chicago,56.89,68,100,19.57,overcast clouds
MEX,DFW,AA,1526,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,Dallas Fort Worth International Airport,Grapevine,69.53,38,75,8.05,broken clouds
CUN,MIA,AA,1536,Cancún International Airport,Benito Juárez,80.6,54,40,15.01,scattered clouds,Miami International Airport,Miami-Dade County,76.98,71,75,16.11,broken clouds
CUN,MIA,AA,158,Cancún International Airport,Benito Juárez,80.6,54,40,15.01,scattered clouds,Miami International Airport,Miami-Dade County,76.98,71,75,16.11,broken clouds
CUN,DFW,AA,1601,Cancún International Airport,Benito Juárez,80.6,54,40,15.01,scattered clouds,Dallas Fort Worth International Airport,Grapevine,69.53,38,75,8.05,broken clouds
MEX,DFW,AA,2350,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,Dallas Fort Worth International Airport,Grapevine,69.53,38,75,8.05,broken clouds
CUN,MIA,AA,2494,Cancún International Airport,Benito Juárez,80.6,54,40,15.01,scattered clouds,Miami International Airport,Miami-Dade County,76.98,71,75,16.11,broken clouds
MEX,LAX,AA,2546,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,Los Angeles International Airport,Los Angeles,59.95,63,40,13.8,scattered clouds
MEX,MIA,AA,264,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,Miami International Airport,Miami-Dade County,76.98,71,75,16.11,broken clouds
GDL,DFW,AA,2647,Don Miguel Hidalgo Y Costilla International Airport,Tlajomulco de Zúñiga,77.0,19,0,0.0,clear sky,Dallas Fort Worth International Airport,Grapevine,69.53,38,75,8.05,broken clouds
CUN,DFW,AA,2684,Cancún International Airport,Benito Juárez,80.6,54,40,15.01,scattered clouds,Dallas Fort Worth International Airport,Grapevine,69.53,38,75,8.05,broken clouds
HMO,PHX,AA,3158,General Ignacio P. Garcia International Airport,Hermosillo,68.0,38,40,5.75,scattered clouds,Phoenix Sky Harbor International Airport,Phoenix,57.52,82,100,18.41,light rain
MTY,DFW,AA,3395,General Mariano Escobedo International Airport,Apodaca,82.4,30,40,11.5,scattered clouds,Dallas Fort Worth International Airport,Grapevine,69.53,38,75,8.05,broken clouds
CUU,DFW,AA,3398,General Roberto Fierro Villalobos International Airport,Chihuahua City,55.4,35,100,5.75,overcast clouds,Dallas Fort Worth International Airport,Grapevine,69.53,38,75,8.05,broken clouds
TRC,DFW,AA,3428,Francisco Sarabia International Airport,Torreón,77.0,15,75,6.91,broken clouds,Dallas Fort Worth International Airport,Grapevine,69.53,38,75,8.05,broken clouds
MTY,DFW,AA,3451,General Mariano Escobedo International Airport,Apodaca,82.4,30,40,11.5,scattered clouds,Dallas Fort Worth International Airport,Grapevine,69.53,38,75,8.05,broken clouds
MTY,DFW,AA,3515,General Mariano Escobedo International Airport,Apodaca,82.4,30,40,11.5,scattered clouds,Dallas Fort Worth International Airport,Grapevine,69.53,38,75,8.05,broken clouds
QRO,DFW,AA,3517,Querétaro Intercontinental Airport,El Marqués,82.4,15,40,11.5,scattered clouds,Dallas Fort Worth International Airport,Grapevine,69.53,38,75,8.05,broken clouds
PVR,DFW,AA,353,Licenciado Gustavo Díaz Ordaz International Airport,Puerto Vallarta,82.4,54,20,12.66,few clouds,Dallas Fort Worth International Airport,Grapevine,69.53,38,75,8.05,broken clouds
QRO,DFW,AA,3554,Querétaro Intercontinental Airport,El Marqués,82.4,15,40,11.5,scattered clouds,Dallas Fort Worth International Airport,Grapevine,69.53,38,75,8.05,broken clouds
AGU,DFW,AA,3687,Jesús Terán Paredo International Airport,Municipio de Aguascalientes,75.2,17,0,10.36,clear sky,Dallas Fort Worth International Airport,Grapevine,69.53,38,75,8.05,broken clouds
AGU,DFW,AA,3691,Jesús Terán Paredo International Airport,Municipio de Aguascalientes,75.2,17,0,10.36,clear sky,Dallas Fort Worth International Airport,Grapevine,69.53,38,75,8.05,broken clouds
MTY,DFW,AA,3701,General Mariano Escobedo International Airport,Apodaca,82.4,30,40,11.5,scattered clouds,Dallas Fort Worth International Airport,Grapevine,69.53,38,75,8.05,broken clouds
BJX,DFW,AA,3704,Del Bajío International Airport,Silao,78.8,13,40,0.0,scattered clouds,Dallas Fort Worth International Airport,Grapevine,69.53,38,75,8.05,broken clouds
MTY,DFW,AA,3743,General Mariano Escobedo International Airport,Apodaca,82.4,30,40,11.5,scattered clouds,Dallas Fort Worth International Airport,Grapevine,69.53,38,75,8.05,broken clouds
MTY,DFW,AA,3842,General Mariano Escobedo International Airport,Apodaca,82.4,30,40,11.5,scattered clouds,Dallas Fort Worth International Airport,Grapevine,69.53,38,75,8.05,broken clouds
GDL,DFW,AA,387,Don Miguel Hidalgo Y Costilla International Airport,Tlajomulco de Zúñiga,77.0,19,0,0.0,clear sky,Dallas Fort Worth International Airport,Grapevine,69.53,38,75,8.05,broken clouds
MEX,DFW,AA,389,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,Dallas Fort Worth International Airport,Grapevine,69.53,38,75,8.05,broken clouds
MEX,DFW,AA,393,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,Dallas Fort Worth International Airport,Grapevine,69.53,38,75,8.05,broken clouds
PBC,DFW,AA,4072,Hermanos Serdán International Airport,Huejotzingo,80.6,12,0,16.11,clear sky,Dallas Fort Worth International Airport,Grapevine,69.53,38,75,8.05,broken clouds
MTY,MIA,AA,4349,General Mariano Escobedo International Airport,Apodaca,82.4,30,40,11.5,scattered clouds,Miami International Airport,Miami-Dade County,76.98,71,75,16.11,broken clouds
MEX,PHX,AA,439,Licenciado Benito Juarez International Airport,Mexico City,86.02,10,0,13.8,clear sky,Phoenix Sky Harbor International Airport,Phoenix,57.52,82,100,18.41,light rain
